"trainer/global_step","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - val/overall/psnr","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - val/overall/psnr__MIN","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - val/overall/psnr__MAX","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step__MIN","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step__MAX"
"5000","13.747500088107213","13.747500088107213","13.747500088107213","100","100","100"
"10000","18.823348317730552","18.823348317730552","18.823348317730552","201","201","201"
"15000","22.25217832058135","22.25217832058135","22.25217832058135","302","302","302"
"20000","23.95167889494013","23.95167889494013","23.95167889494013","403","403","403"
"25000","25.060436714611527","25.060436714611527","25.060436714611527","504","504","504"
"30000","25.906808637377814","25.906808637377814","25.906808637377814","605","605","605"
"35000","26.44872527863669","26.44872527863669","26.44872527863669","706","706","706"
"40000","26.744945274664463","26.744945274664463","26.744945274664463","807","807","807"
"45000","26.924401365234942","26.924401365234942","26.924401365234942","908","908","908"
"50000","26.994570658456105","26.994570658456105","26.994570658456105","1009","1009","1009"
"55000","26.983775181772508","26.983775181772508","26.983775181772508","1110","1110","1110"
"60000","26.936835671409238","26.936835671409238","26.936835671409238","1211","1211","1211"
"65000","26.92369558911493","26.92369558911493","26.92369558911493","1312","1312","1312"
"70000","26.958856815293924","26.958856815293924","26.958856815293924","1413","1413","1413"
"75000","26.96454806719507","26.96454806719507","26.96454806719507","1514","1514","1514"
"80000","27.012917961110094","27.012917961110094","27.012917961110094","1615","1615","1615"
"85000","26.68579887264769","26.68579887264769","26.68579887264769","1716","1716","1716"
"90000","26.567140335015115","26.567140335015115","26.567140335015115","1817","1817","1817"
"95000","26.12959508303913","26.12959508303913","26.12959508303913","1918","1918","1918"
"100000","25.532474075408025","25.532474075408025","25.532474075408025","2019","2019","2019"
"105000","25.467962905347004","25.467962905347004","25.467962905347004","2120","2120","2120"
"110000","25.445194547936307","25.445194547936307","25.445194547936307","2221","2221","2221"
"115000","25.45365456752495","25.45365456752495","25.45365456752495","2322","2322","2322"
"120000","25.451085686517096","25.451085686517096","25.451085686517096","2423","2423","2423"
