"trainer/global_step","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - swap_semantic_strength_pred_max","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - swap_semantic_strength_pred_max__MIN","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - swap_semantic_strength_pred_max__MAX","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step__MIN","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step__MAX"
"49","0.04443359375","0.04443359375","0.04443359375","0","0","0"
"99","0.0615234375","0.0615234375","0.0615234375","1","1","1"
"149","0.0703125","0.0703125","0.0703125","2","2","2"
"199","0.059814453125","0.059814453125","0.059814453125","3","3","3"
"249","0.07666015625","0.07666015625","0.07666015625","4","4","4"
"299","0.06298828125","0.06298828125","0.06298828125","5","5","5"
"349","0.061767578125","0.061767578125","0.061767578125","6","6","6"
"399","0.10009765625","0.10009765625","0.10009765625","7","7","7"
"449","0.0859375","0.0859375","0.0859375","8","8","8"
"499","0.032958984375","0.032958984375","0.032958984375","9","9","9"
"549","0.06396484375","0.06396484375","0.06396484375","10","10","10"
"599","0.091796875","0.091796875","0.091796875","11","11","11"
"649","0.091796875","0.091796875","0.091796875","12","12","12"
"699","0.0147705078125","0.0147705078125","0.0147705078125","13","13","13"
"749","0.049560546875","0.049560546875","0.049560546875","14","14","14"
"799","0.08544921875","0.08544921875","0.08544921875","15","15","15"
"849","0.072265625","0.072265625","0.072265625","16","16","16"
"899","0.08447265625","0.08447265625","0.08447265625","17","17","17"
"949","0.064453125","0.064453125","0.064453125","18","18","18"
"999","0.0712890625","0.0712890625","0.0712890625","19","19","19"
"1049","0.062255859375","0.062255859375","0.062255859375","20","20","20"
"1099","0.049560546875","0.049560546875","0.049560546875","21","21","21"
"1149","0.08935546875","0.08935546875","0.08935546875","22","22","22"
"1199","0.0703125","0.0703125","0.0703125","23","23","23"
"1249","0.05419921875","0.05419921875","0.05419921875","24","24","24"
"1299","0.080078125","0.080078125","0.080078125","25","25","25"
"1349","0.076171875","0.076171875","0.076171875","26","26","26"
"1399","0.0654296875","0.0654296875","0.0654296875","27","27","27"
"1449","0.0927734375","0.0927734375","0.0927734375","28","28","28"
"1499","0.056884765625","0.056884765625","0.056884765625","29","29","29"
"1549","0.064453125","0.064453125","0.064453125","30","30","30"
"1599","0.05615234375","0.05615234375","0.05615234375","31","31","31"
"1649","0.09619140625","0.09619140625","0.09619140625","32","32","32"
"1699","0.07470703125","0.07470703125","0.07470703125","33","33","33"
"1749","0.1025390625","0.1025390625","0.1025390625","34","34","34"
"1799","0.059814453125","0.059814453125","0.059814453125","35","35","35"
"1849","0.0693359375","0.0693359375","0.0693359375","36","36","36"
"1899","0.10009765625","0.10009765625","0.10009765625","37","37","37"
"1949","0.0869140625","0.0869140625","0.0869140625","38","38","38"
"1999","0.09130859375","0.09130859375","0.09130859375","39","39","39"
"2049","0.12353515625","0.12353515625","0.12353515625","40","40","40"
"2099","0.11279296875","0.11279296875","0.11279296875","41","41","41"
"2149","0.158203125","0.158203125","0.158203125","42","42","42"
"2199","0.12353515625","0.12353515625","0.12353515625","43","43","43"
"2249","0.06982421875","0.06982421875","0.06982421875","44","44","44"
"2299","0.1591796875","0.1591796875","0.1591796875","45","45","45"
"2349","0.06396484375","0.06396484375","0.06396484375","46","46","46"
"2399","0.13671875","0.13671875","0.13671875","47","47","47"
"2449","0.064453125","0.064453125","0.064453125","48","48","48"
"2499","0.1455078125","0.1455078125","0.1455078125","49","49","49"
"2549","0.09423828125","0.09423828125","0.09423828125","50","50","50"
"2599","0.07958984375","0.07958984375","0.07958984375","51","51","51"
"2649","0.08251953125","0.08251953125","0.08251953125","52","52","52"
"2699","0.1298828125","0.1298828125","0.1298828125","53","53","53"
"2749","0.095703125","0.095703125","0.095703125","54","54","54"
"2799","0.1201171875","0.1201171875","0.1201171875","55","55","55"
"2849","0.140625","0.140625","0.140625","56","56","56"
"2899","0.10498046875","0.10498046875","0.10498046875","57","57","57"
"2949","0.169921875","0.169921875","0.169921875","58","58","58"
"2999","0.1337890625","0.1337890625","0.1337890625","59","59","59"
"3049","0.11328125","0.11328125","0.11328125","60","60","60"
"3099","0.1865234375","0.1865234375","0.1865234375","61","61","61"
"3149","0.1923828125","0.1923828125","0.1923828125","62","62","62"
"3199","0.1474609375","0.1474609375","0.1474609375","63","63","63"
"3249","0.162109375","0.162109375","0.162109375","64","64","64"
"3299","0.13671875","0.13671875","0.13671875","65","65","65"
"3349","0.224609375","0.224609375","0.224609375","66","66","66"
"3399","0.10400390625","0.10400390625","0.10400390625","67","67","67"
"3449","0.107421875","0.107421875","0.107421875","68","68","68"
"3499","0.09716796875","0.09716796875","0.09716796875","69","69","69"
"3549","0.1171875","0.1171875","0.1171875","70","70","70"
"3599","0.224609375","0.224609375","0.224609375","71","71","71"
"3649","0.1728515625","0.1728515625","0.1728515625","72","72","72"
"3699","0.12451171875","0.12451171875","0.12451171875","73","73","73"
"3749","0.10009765625","0.10009765625","0.10009765625","74","74","74"
"3799","0.171875","0.171875","0.171875","75","75","75"
"3849","0.244140625","0.244140625","0.244140625","76","76","76"
