"trainer/global_step","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - swap_reconstruction_loss","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - swap_reconstruction_loss__MIN","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - swap_reconstruction_loss__MAX","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step__MIN","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step__MAX"
"49","0.2858907878398895","0.2858907878398895","0.2858907878398895","0","0","0"
"99","0.11617754399776459","0.11617754399776459","0.11617754399776459","1","1","1"
"149","0.14270178973674774","0.14270178973674774","0.14270178973674774","2","2","2"
"199","0.14228710532188416","0.14228710532188416","0.14228710532188416","3","3","3"
"249","0.1130533218383789","0.1130533218383789","0.1130533218383789","4","4","4"
"299","0.09652233123779297","0.09652233123779297","0.09652233123779297","5","5","5"
"349","0.12522242963314056","0.12522242963314056","0.12522242963314056","6","6","6"
"399","0.22648854553699493","0.22648854553699493","0.22648854553699493","7","7","7"
"449","0.1754571497440338","0.1754571497440338","0.1754571497440338","8","8","8"
"499","0.10481976717710495","0.10481976717710495","0.10481976717710495","9","9","9"
"549","0.16247418522834778","0.16247418522834778","0.16247418522834778","10","10","10"
"599","0.2028018981218338","0.2028018981218338","0.2028018981218338","11","11","11"
"649","0.17563636600971222","0.17563636600971222","0.17563636600971222","12","12","12"
"699","0.07822269201278687","0.07822269201278687","0.07822269201278687","13","13","13"
"749","0.11777118593454361","0.11777118593454361","0.11777118593454361","14","14","14"
"799","0.17976312339305878","0.17976312339305878","0.17976312339305878","15","15","15"
"849","0.13706158101558685","0.13706158101558685","0.13706158101558685","16","16","16"
"899","0.17213471233844757","0.17213471233844757","0.17213471233844757","17","17","17"
"949","0.17985905706882477","0.17985905706882477","0.17985905706882477","18","18","18"
"999","0.1484803855419159","0.1484803855419159","0.1484803855419159","19","19","19"
"1049","0.09392005205154419","0.09392005205154419","0.09392005205154419","20","20","20"
"1099","0.11775127053260803","0.11775127053260803","0.11775127053260803","21","21","21"
"1149","0.10125241428613663","0.10125241428613663","0.10125241428613663","22","22","22"
"1199","0.1569291055202484","0.1569291055202484","0.1569291055202484","23","23","23"
