"trainer/global_step","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - swap_perceptual_loss","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - swap_perceptual_loss__MIN","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - swap_perceptual_loss__MAX","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step__MIN","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step__MAX"
"49","6.262740612030029","6.262740612030029","6.262740612030029","0","0","0"
"99","3.234894037246704","3.234894037246704","3.234894037246704","1","1","1"
"149","2.441537857055664","2.441537857055664","2.441537857055664","2","2","2"
"199","3.0338828563690186","3.0338828563690186","3.0338828563690186","3","3","3"
"249","2.6134190559387207","2.6134190559387207","2.6134190559387207","4","4","4"
"299","2.2577497959136963","2.2577497959136963","2.2577497959136963","5","5","5"
"349","2.5659942626953125","2.5659942626953125","2.5659942626953125","6","6","6"
"399","2.7440056800842285","2.7440056800842285","2.7440056800842285","7","7","7"
"449","3.3206541538238525","3.3206541538238525","3.3206541538238525","8","8","8"
"499","2.475933074951172","2.475933074951172","2.475933074951172","9","9","9"
"549","2.283677339553833","2.283677339553833","2.283677339553833","10","10","10"
"599","3.0196337699890137","3.0196337699890137","3.0196337699890137","11","11","11"
"649","2.6562671661376953","2.6562671661376953","2.6562671661376953","12","12","12"
"699","1.8220996856689453","1.8220996856689453","1.8220996856689453","13","13","13"
"749","2.9230737686157227","2.9230737686157227","2.9230737686157227","14","14","14"
"799","2.173424243927002","2.173424243927002","2.173424243927002","15","15","15"
"849","1.8761181831359863","1.8761181831359863","1.8761181831359863","16","16","16"
"899","2.976907968521118","2.976907968521118","2.976907968521118","17","17","17"
"949","2.8519973754882812","2.8519973754882812","2.8519973754882812","18","18","18"
"999","2.257207155227661","2.257207155227661","2.257207155227661","19","19","19"
"1049","2.28159499168396","2.28159499168396","2.28159499168396","20","20","20"
"1099","2.354071855545044","2.354071855545044","2.354071855545044","21","21","21"
"1149","1.6932373046875","1.6932373046875","1.6932373046875","22","22","22"
"1199","2.1433706283569336","2.1433706283569336","2.1433706283569336","23","23","23"
"1249","3.1927716732025146","3.1927716732025146","3.1927716732025146","24","24","24"
"1299","1.4317947626113892","1.4317947626113892","1.4317947626113892","25","25","25"
"1349","2.2573211193084717","2.2573211193084717","2.2573211193084717","26","26","26"
"1399","2.1428518295288086","2.1428518295288086","2.1428518295288086","27","27","27"
"1449","2.624054431915283","2.624054431915283","2.624054431915283","28","28","28"
"1499","3.110736846923828","3.110736846923828","3.110736846923828","29","29","29"
"1549","1.845819354057312","1.845819354057312","1.845819354057312","30","30","30"
